"SMPNumber"	"SMPTypeName"	"SMPNewVegetatedArea"	"SMPFootPrint"	"InfiltrationTypeName"	"SystemStorageVolume"	"StormSizeManaged"	"SystemContributingImperviousArea"	"ProjectName"	"ConstructionCompletedDate"	"CAPITStatus"
"1-1-1"	"Stormwater Tree Trench"	0	970	"Infiltration"	1604	0.858557473571524	22419	"7th St, 8th St, and Cumberland St (Hartranft School)"	2010-11-10	"Closed"
"1-2-1"	"Stormwater Tree Trench"	0	914	"Detention/Slow Release"	1280	1.21663366336634	12625	"7th St, 8th St, and Cumberland St (Hartranft School)"	2010-11-10	"Closed"
"1-3-1"	"Stormwater Tree Trench"	0	360	"Detention/Slow Release"	576	0.729113924050633	9480	"7th St, 8th St, and Cumberland St (Hartranft School)"	2010-11-10	"Closed"
"2-1-1"	"Rain Garden"	998	998	"Detention/Slow Release"	1270	1.05759888965996	14410	"Welsh School"	2013-04-23	"Construction Complete"
"2-1-2"	"Infiltration/Storage Trench"	0	998	"Detention/Slow Release"	1270	1.05759888965996	14410	"Welsh School"	2013-04-23	"Construction Complete"
"2-2-1"	"Stormwater Tree Trench"	192	629	"Infiltration"	799	1.06426906426906	9009	"Welsh School"	2013-04-23	"Construction Complete"
"3-1-1"	"Stormwater Tree Trench"	0	469	"Detention/Slow Release"	815	0.857669034464615	11403	"Belfield Ave from Chew Ave to Walnut Ln"	2011-09-23	"Closed"
"3-2-1"	"Stormwater Tree Trench"	0	632	"Infiltration"	730	0.999771741611504	8762	"Belfield Ave from Chew Ave to Walnut Ln"	2011-09-23	"Closed"
"3-3-1"	"Stormwater Tree Trench"	0	1265	"Infiltration"	1520	1.00071322762934	18227	"Belfield Ave from Chew Ave to Walnut Ln"	2011-09-23	"Closed"
"3-4-1"	"Stormwater Tree Trench"	0	818	"Infiltration"	1092	1.00145204432556	13085	"Belfield Ave from Chew Ave to Walnut Ln"	2011-09-23	"Closed"
"3-5-1"	"Stormwater Tree Trench"	0	905	"Infiltration"	1069	1.00038992435468	12823	"Belfield Ave from Chew Ave to Walnut Ln"	2011-09-23	"Closed"
"3-6-1"	"Stormwater Tree Trench"	0	354	"Infiltration"	347	0.999759903961585	4165	"Belfield Ave from Chew Ave to Walnut Ln"	2011-09-23	"Closed"
"5-1-1"	"Stormwater Bumpout"	480	399	"Infiltration"	732	2.196	4000	"Queen Lane from Henry St to Fox St"	2011-05-14	"Closed"
"5-2-1"	"Stormwater Bumpout"	560	347	"Infiltration"	741	1.06682663467307	8335	"Queen Lane from Henry St to Fox St"	2011-05-14	"Closed"
"5-3-1"	"Stormwater Bumpout"	480	399	"Infiltration"	741	0.778633975481611	11420	"Queen Lane from Henry St to Fox St"	2011-05-14	"Closed"
"5-4-1"	"Stormwater Bumpout"	480	399	"Infiltration"	744	0.97841095890411	9125	"Queen Lane from Henry St to Fox St"	2011-05-14	"Closed"
"5-5-1"	"Stormwater Bumpout"	160	225	"Infiltration"	453	0.734594594594595	7400	"Queen Lane from Henry St to Fox St"	2011-05-14	"Closed"
"5-6-1"	"Stormwater Bumpout"	192	237	"Infiltration"	480	1.73493975903614	3320	"Queen Lane from Henry St to Fox St"	2011-05-14	"Closed"
"8-1-1"	"Stormwater Tree Trench"	0	900	"Infiltration"	1301	0.659012241452089	23690	"Montgomery Ave, Shissler Playground"	2011-11-04	"Closed"
"8-2-1"	"Infiltration/Storage Trench"	NA	271	"Infiltration"	271	0.312692307692308	10400	"Montgomery Ave, Shissler Playground"	2011-11-04	"Closed"
"8-2-2"	"Infiltration/Storage Trench"	NA	NA	"Infiltration"	271	0.312692307692308	10400	"Montgomery Ave, Shissler Playground"	2011-11-04	"Closed"
"9-1-1"	"Stormwater Tree Trench"	0	320	"Infiltration"	494	2.11336898395722	2805	"Palmer St from Frankford Ave to Blair St (Shissler Playground)"	2010-11-10	"Closed"
"9-2-1"	"Stormwater Tree Trench"	0	480	"Infiltration"	756	1.40760279286268	6445	"Palmer St from Frankford Ave to Blair St (Shissler Playground)"	2010-11-10	"Closed"
"10-1-1"	"Stormwater Tree Trench"	0	1430	"Infiltration"	3044	1.19372549019608	30600	"Thompson St and Columbia Ave"	2013-09-20	"Closed"
"10-1-2"	"Stormwater Bumpout"	272	272	"Infiltration"	3044	1.19372549019608	30600	"Thompson St and Columbia Ave"	2013-09-20	"Closed"
"10-2-1"	"Stormwater Tree Trench"	0	330	"Infiltration"	467	1.30174216027875	4305	"Thompson St and Columbia Ave"	2013-09-20	"Closed"
"12-1-1"	"Stormwater Planter"	12	21	"Infiltration"	163.35	0.462420382165605	4239	"4th St and Cambridge St (Bodine High School)"	2013-02-08	"Closed"
"12-1-2"	"Stormwater Planter"	12	21	"Infiltration"	163.35	0.462420382165605	4239	"4th St and Cambridge St (Bodine High School)"	2013-02-08	"Closed"
